Example,"Google Document Text Detection No Image Processing
",Google Document Text Detection with my image processing,Google + Tesseract Ensemble no image processing,Google + Tesseract Ensemble with my image processing
ex_10:,84.62%,0.00%,0.00%,0.00%
ex_11:,100.00%,100.00%,100.00%,100.00%
ex_12:,100.00%,100.00%,100.00%,100.00%
ex_13:,35.71%,21.43%,35.71%,92.86%
ex_14:,71.43%,92.86%,71.43%,92.86%
ex_15:,50.00%,50.00%,92.86%,85.71%
ex_16:,-53.85%,0.00%,-53.85%,0.00%
ex_17:,100.00%,50.00%,100.00%,83.33%
ex_18:,100.00%,100.00%,100.00%,100.00%
ex_19:,100.00%,100.00%,100.00%,100.00%
ex_1:,88.00%,92.00%,88.00%,100.00%
ex_20:,0.00%,0.00%,0.00%,0.00%
ex_21:,100.00%,92.31%,100.00%,92.31%
ex_22:,100.00%,100.00%,100.00%,100.00%
ex_23:,50.00%,64.29%,0.00%,85.71%
ex_24:,0.00%,37.50%,62.50%,100.00%
ex_25:,100.00%,100.00%,100.00%,100.00%
ex_26:,40.00%,96.00%,96.00%,96.00%
ex_27:,100.00%,100.00%,100.00%,100.00%
ex_28:,100.00%,92.86%,100.00%,92.86%
ex_29:,100.00%,92.86%,100.00%,92.86%
ex_2:,100.00%,100.00%,100.00%,100.00%
ex_30:,0.00%,100.00%,75.00%,100.00%
ex_31:,-142.86%,85.71%,-142.86%,85.71%
ex_32:,100.00%,100.00%,100.00%,100.00%
ex_33:,100.00%,71.43%,100.00%,85.71%
ex_34:,100.00%,92.86%,100.00%,92.86%
ex_35:,100.00%,100.00%,100.00%,100.00%
ex_36:,95.45%,90.91%,95.45%,90.91%
ex_37:,70.00%,90.00%,70.00%,90.00%
ex_38:,94.12%,94.12%,94.12%,94.12%
ex_39:,71.43%,100.00%,71.43%,100.00%
ex_3:,100.00%,100.00%,100.00%,100.00%
ex_40:,0.00%,87.50%,100.00%,87.50%
ex_41:,66.67%,80.00%,66.67%,80.00%
ex_42:,92.86%,92.86%,92.86%,92.86%
ex_43:,100.00%,100.00%,100.00%,100.00%
ex_44:,42.86%,100.00%,42.86%,100.00%
ex_45:,100.00%,100.00%,100.00%,100.00%
ex_46:,78.57%,100.00%,85.71%,100.00%
ex_47:,100.00%,100.00%,100.00%,100.00%
ex_48:,0.00%,0.00%,100.00%,85.71%
ex_49:,100.00%,100.00%,100.00%,100.00%
ex_4:,100.00%,92.86%,0.00%,92.86%
ex_50:,100.00%,75.00%,100.00%,75.00%
ex_51:,100.00%,57.14%,100.00%,100.00%
ex_52:,88.89%,88.89%,88.89%,88.89%
ex_53:,91.67%,100.00%,91.67%,100.00%
ex_54:,0.00%,100.00%,25.00%,100.00%
ex_55:,100.00%,100.00%,100.00%,100.00%
ex_56:,100.00%,100.00%,100.00%,100.00%
ex_57:,100.00%,100.00%,100.00%,100.00%
ex_58:,100.00%,100.00%,100.00%,100.00%
ex_59:,0.00%,0.00%,0.00%,0.00%
ex_5:,100.00%,100.00%,100.00%,100.00%
ex_60:,100.00%,100.00%,100.00%,100.00%
ex_61:,100.00%,100.00%,100.00%,100.00%
ex_62:,66.67%,0.00%,66.67%,0.00%
ex_63:,60.00%,-50.00%,60.00%,0.00%
ex_64:,9.09%,81.82%,63.64%,90.91%
ex_65:,100.00%,100.00%,100.00%,100.00%
ex_66:,80.00%,80.00%,100.00%,100.00%
ex_67:,72.22%,88.89%,72.22%,94.44%
ex_68:,100.00%,100.00%,100.00%,100.00%
ex_69:,100.00%,100.00%,85.71%,100.00%
ex_6:,100.00%,100.00%,100.00%,100.00%
ex_70:,33.33%,0.00%,33.33%,83.33%
ex_71:,16.67%,0.00%,0.00%,0.00%
ex_72:,100.00%,50.00%,100.00%,100.00%
ex_73:,100.00%,100.00%,100.00%,100.00%
ex_74:,100.00%,100.00%,100.00%,100.00%
ex_75:,92.86%,92.86%,92.86%,92.86%
ex_7:,100.00%,100.00%,100.00%,100.00%
ex_8:,100.00%,100.00%,100.00%,100.00%
ex_9:,0.00%,100.00%,0.00%,100.00%
Average,72.62%,79.00%,76.32%,86.91%
"Perfect
",40,37,41,42